unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
9ada0701e9fc935affe2af9eb0e73604a19bcc1f,78c85ff926aca8f4d4a81ee9b8bf7b3e2a24ec9570eb582b021bfb1777a29bd5ae99fbb2618e5f35a3e3ca0367f15fc891d21f52b650be2ada28f77f076f0c6a,2015-08-02 13:30:00.000000 UTC,2015-08-02 14:30:00.000000 UTC,3060,30.5,,,,,61.25,9.86,0.0,6.5,77.61,Credit Card,,,,,,,
e8c5ca18c49a5ef9c0c3476602136e5f0cecf09e,7added4d3f37f22fbd28e2f95972c03d79890098880768299542593d0ff21cae3e14d411134fc657ed223684fb5b1ffa249066ab410a56ef6845255f29a213ea,2014-05-16 00:00:00.000000 UTC,2014-05-16 00:00:00.000000 UTC,0,0.0,,,,,37.25,7.45,0.0,0.0,44.7,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
0c38fec1326089cb205f79484f72259edbf20e14,21ec4ac0cf9503bdc658259e6bef00bf7bdfed29cf1c79b659a94544e4f434e7bde65b6cac2cbd606c19b5be286a9d3cb0cef3617258c332bd21a55d99b6cac3,2017-07-10 17:15:00.000000 UTC,2017-07-10 17:30:00.000000 UTC,420,0.8,,,,,5.75,2.0,0.0,0.0,7.75,Credit Card,Northwest Management LLC,,,,,,
7e2b2fc9a3652ccde955921d4683578ec9655997,552a0ed7ca9e30dc77023879f12d371c6edc86d387469f258e88c13a67c52e10e974651e78bc326bd157394f4b70080fd52fa8bf45697659283f23d90c4c86d7,2015-06-12 20:00:00.000000 UTC,2015-06-12 20:00:00.000000 UTC,0,0.0,,,,,6.85,1.37,0.0,0.0,8.22,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
2b175ee25a91fdfd3722977e76ff5cb982f1363c,90f7cd47b1a55a66111e1fc0a8bc317bf2866bc89280a32ddc9fbe03fe183c58f40e0e0ce681fe8f675b1537b513f1c398c93c70c676366b45eba48cf3038df1,2014-12-04 01:15:00.000000 UTC,2014-12-04 01:15:00.000000 UTC,0,0.0,,,,,51.65,12.91,0.0,0.0,64.56,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
c18ddef6d6ae56bd0a22e3775bebe27ff138a5d6,0d6436587c309cd68793fd45e1ca9b82b7d076cb80abd021856cc8731bcd2a6973ec8236584cfdf6a9e4c040e3724e40b6cf1dff40875c4ae7354a517eb71360,2016-07-13 14:15:00.000000 UTC,2016-07-13 14:15:00.000000 UTC,0,0.0,,,,,6.0,2.0,0.0,0.0,8.0,Credit Card,T.A.S. - Payment Only,,,,,,
0f7bff11f87bf9395726ea8075ecb04d75d15421,45660b34deeab21b9a6db21b9b77b19eef90236c65683e908e7b59b533cb659a4edeae70e379096d447d02bfd9ad468b031a10f59e48fab6644baaa28fb91c82,2016-05-06 23:45:00.000000 UTC,2016-05-06 23:45:00.000000 UTC,0,0.0,,,,,7.75,1.45,0.0,0.0,9.2,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
508a0f7e391698a5bed98aa408f2d3dd79d51455,1158f25979ad78fd3dafc867a540ad761b65922c312e6170ccee63c3f14adea37317d3cf4e2053d2bdb1531d17670872e0411e496905ef9cb4821e0e96056139,2016-11-14 08:15:00.000000 UTC,2016-11-14 08:30:00.000000 UTC,1080,3.5,,,,,13.25,0.0,0.0,0.0,13.25,Cash,Sun Taxi,,,,,,
0d065b770e80bee53ba9a302a614f765436c5575,02e1118efc46c0d7c33d9bbf3fff0f8d8857584aaf73a4ceaf54924430dcdb81399034cebb53b82df6709c6dcd69b633a1ae6ea952d02b13ea58ce46121b42e6,2013-10-19 00:45:00.000000 UTC,2013-10-19 00:30:00.000000 UTC,,0.0,,,,,8.45,4.0,0.0,0.0,12.45,Credit Card,Taxi Affiliation Services,,,,,,
2847d6d22dd2913b8e6f8aa4f4d7796eef86f747,f98f8c438a609dc346431c93dcd3aca6bab77b708f2fa09cf7675a37685c4749906f3941a8ab14dbde5759e92e323cef6a00a5ac5301faf8b7105c8f7ea7814d,2013-07-13 01:45:00.000000 UTC,2013-07-13 01:45:00.000000 UTC,0,0.0,,,,,8.05,1.0,0.0,0.0,9.05,Credit Card,Chicago Elite Cab Corp.,,,,,,
